Frame number,449
First frame,416
Point frequency,100
Analog frequency,100

Time,MJ06:LHEE,,,MJ06:LTOE,,,MJ06:RHEE,,,MJ06:RTOE,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
4.66,531.658,1899.98,219.106,542.147,1754.48,47.9393,304.303,1448.34,58.777,252.923,1213.28,60.6524
4.67,527.897,1877.33,235.139,540.913,1748.33,50.1402,304.184,1448.42,58.7341,252.797,1213.52,60.5457
4.68,525.103,1855.2,251.053,539.584,1739.27,53.8234,304.055,1448.18,58.501,252.835,1213.49,60.4682
4.69,520.602,1830.17,266.509,538.319,1729.65,57.9346,303.904,1448.3,58.5502,252.853,1213.73,60.3587
4.7,515.495,1802.99,279.162,537.098,1716.75,62.8049,303.762,1448.42,58.5812,252.289,1214.73,60.2113
4.71,510.827,1777.21,290.962,536.336,1707.94,66.5086,303.467,1448.34,59.544,252.171,1214.91,60.1958
4.72,506.144,1750.19,299.217,534.596,1691.96,71.1266,303.651,1448.3,58.737,252.19,1214.99,60.1664
4.73,502.457,1728.79,305.306,530.902,1672.78,77.1408,303.702,1448.21,58.4777,252.138,1215,60.1621
4.74,498.826,1709.25,309.645,525.938,1648.95,82.82,303.733,1448.3,58.5524,252.145,1215.11,60.1112
4.75,496.721,1691.03,312.501,519.77,1615.21,90.2567,303.728,1448.15,58.3902,252.09,1215.2,60.1305
4.76,494.592,1675.9,312.904,513.195,1583.76,95.3937,303.71,1448.08,58.3333,252.067,1215.24,60.1189
4.77,492.012,1656.9,311.519,506.363,1552.19,99.391,303.666,1448.09,58.3728,252.027,1215.25,60.1537
4.78,490.24,1638.5,307.906,499.996,1521.29,101.99,303.625,1448.06,58.3443,252.007,1215.36,60.1151
4.79,487.734,1617.94,303.728,494.41,1491.53,103.239,303.603,1448.08,58.3462,251.929,1215.55,60.1233
4.8,484.69,1595.8,298.257,488.571,1459.79,103.839,303.713,1448.36,58.2559,251.871,1215.59,60.1272
4.81,480.831,1572.63,291.273,482.732,1427.29,103.035,303.826,1447.36,57.9179,251.842,1215.72,60.0703
4.82,477.151,1547.59,281.654,477.268,1396.02,101.481,303.882,1446.21,57.4474,251.809,1215.74,60.0755
4.83,473.574,1532.98,276.306,472.164,1363.89,99.4855,303.895,1445.91,57.4868,251.826,1215.72,60.0601
4.84,470.452,1507.5,265.156,467.492,1330.3,97.8549,303.938,1445.87,57.5461,251.845,1215.7,59.9886
4.85,466.989,1480.89,252.604,463.297,1295.32,96.5798,303.918,1445.86,57.5714,251.839,1215.77,59.9808
4.86,463.24,1453.31,238.938,458.195,1260.49,95.3403,303.904,1445.85,57.5989,251.902,1215.35,59.99
4.87,459.108,1427.16,225.42,454.42,1226.31,93.8383,303.888,1445.86,57.663,251.917,1215.8,59.7969
4.88,454.813,1399.25,211.703,451.326,1192.14,92.741,303.896,1445.83,57.6466,252.032,1215.23,59.777
4.89,450.708,1370.03,197.774,448.83,1158.07,91.3805,303.888,1445.8,57.6517,252.001,1215.15,59.7942
4.9,446.344,1341.48,184.59,446.734,1122.37,90.5739,303.879,1445.84,57.771,251.999,1215.16,59.698
4.91,442.343,1311.79,171.813,445.039,1087.97,89.5969,303.871,1445.86,57.8776,252.013,1215.17,59.6275
4.92,438.378,1282.57,159.92,444.464,1055.43,89.0505,303.856,1445.88,57.9758,251.705,1214.21,59.7215
4.93,434.631,1252.5,148.52,443.71,1022.61,89.2971,303.877,1445.86,57.9914,251.909,1215.11,59.642
4.94,431.206,1221.9,137.531,443.509,989.146,90.6292,303.872,1445.86,58.0393,251.864,1214.9,59.6817
4.95,428.151,1190.76,126.959,443.619,956.514,92.9478,303.876,1445.85,58.071,251.846,1215.37,59.5624
4.96,425.116,1160.72,117.822,444.494,924.485,96.1296,303.891,1445.81,58.1017,251.953,1215.55,59.463
4.97,422.844,1130.73,109.933,446.245,893.61,100.882,303.894,1445.81,58.1995,251.986,1215.51,59.3547
4.98,420.434,1100.1,102.433,448.042,864.114,105.904,303.898,1445.82,58.2801,252.079,1215.75,59.064
4.99,418.817,1071.43,96.3488,450.308,836.156,112.221,303.9,1445.77,58.3006,252.159,1215.58,58.9342
5,418.228,1043.45,91.0742,452.924,809.627,119.671,303.913,1445.78,58.338,252.175,1215.56,58.8398
5.01,417.469,1016.17,86.6467,455.542,784.949,127.603,303.9,1445.75,58.3308,252.173,1215.56,58.7763
5.02,417.639,990.643,83.3403,457.565,761.554,135.757,303.896,1445.66,58.3413,252.177,1215.66,58.7027
5.03,418.098,967.136,81.0856,459.602,740.432,143.864,303.915,1445.68,58.3933,252.173,1215.59,58.6169
5.04,418.414,945.185,79.0832,462.118,721.028,151.752,303.896,1445.59,58.3978,252.063,1215.85,58.4898
5.05,418.423,924.987,77.954,464.049,704.241,158.473,303.948,1445.62,58.5023,252.052,1216,58.4264
5.06,417.252,905.861,76.5583,465.955,689.184,163.851,303.856,1445.58,58.5381,252.115,1215.87,58.3813
5.07,415.95,889.285,75.1638,468.465,675.933,168.272,303.828,1445.42,58.5379,251.988,1216.01,58.2953
5.08,414.855,876.297,74.0706,470.555,665.269,170.51,303.753,1445.46,58.5919,251.925,1216.13,58.2196
5.09,414.041,866.206,72.8114,471.763,656.457,171.193,303.664,1445.4,58.6382,251.814,1215.92,58.0696
